   0.0000,    0.0000,    0.0000 
   0.0000,    0.0000,    0.0000 
   0.0000,    0.0000,    0.0000 
   0.0000,    0.0000,    0.0000 
   0.0000,    0.0000,    0.0000 
   0.0000,    0.0000,    0.0000 
   0.0000,    0.0000,    0.0000 
   0.0000,    0.0000,    0.0000 
   0.0000,    0.0000,    0.0000 
   0.0000,    0.0000,    0.0000 
   0.0000,    0.0000,    0.0000 
   0.0400,    0.0119,    0.0000 
   0.0400,    0.0211,    0.0006 
   0.0400,    0.0283,    0.0016 
   0.0400,    0.0351,    0.0031 
   0.0400,    0.0414,    0.0048 
   0.0400,    0.0472,    0.0069 
   0.0400,    0.0524,    0.0093 
   0.0400,    0.0569,    0.0119 
   0.0400,    0.0608,    0.0147 
   0.0400,    0.0640,    0.0178 
   0.0400,    0.0665,    0.0210 
   0.0600,    0.0805,    0.0243 
   0.0600,    0.0852,    0.0283 
   0.0800,    0.1012,    0.0326 
   0.0800,    0.1076,    0.0376 
   0.1000,    0.1250,    0.0430 
   0.1000,    0.1326,    0.0493 
   0.1200,    0.1509,    0.0559 
   0.1200,    0.1590,    0.0634 
   0.1400,    0.1777,    0.0714 
   0.1600,    0.1983,    0.0803 
   0.1600,    0.2085,    0.0896 
   0.1800,    0.2291,    0.0990 
   0.1800,    0.2392,    0.1090 
   0.2000,    0.2593,    0.1192 
   0.2200,    0.2811,    0.1301 
   0.2200,    0.2919,    0.1418 
   0.2400,    0.3125,    0.1538 
   0.2400,    0.3219,    0.1665 
   0.2600,    0.3408,    0.1796 
   0.2600,    0.3484,    0.1934 
   0.2600,    0.3531,    0.2075 
   0.2600,    0.3552,    0.2212 
   0.2800,    0.3670,    0.2347 
   0.2800,    0.3679,    0.2480 
   0.2800,    0.3663,    0.2610 
   0.3000,    0.3750,    0.2730 
   0.3000,    0.3730,    0.2852 
   0.3000,    0.3692,    0.2963 
   0.3000,    0.3635,    0.3068 
   0.3000,    0.3564,    0.3161 
   0.3000,    0.3483,    0.3240 
   0.3000,    0.3393,    0.3310 
   0.2800,    0.3174,    0.3365 
   0.2800,    0.3038,    0.3404 
   0.2800,    0.2903,    0.3426 
   0.2800,    0.2775,    0.3431 
   0.2800,    0.2653,    0.3423 
   0.2800,    0.2543,    0.3400 
   0.2800,    0.2444,    0.3366 
   0.2800,    0.2360,    0.3318 
   0.2800,    0.2291,    0.3262 
   0.2600,    0.2114,    0.3200 
   0.2600,    0.2038,    0.3128 
   0.2600,    0.1983,    0.3046 
   0.2600,    0.1946,    0.2961 
   0.2400,    0.1803,    0.2875 
   0.2400,    0.1768,    0.2778 
   0.2200,    0.1630,    0.2680 
   0.2200,    0.1597,    0.2577 
   0.2000,    0.1462,    0.2475 
   0.2000,    0.1431,    0.2370 
   0.1800,    0.1297,    0.2267 
   0.1600,    0.1145,    0.2163 
   0.1600,    0.1095,    0.2061 
   0.1400,    0.0940,    0.1964 
   0.1400,    0.0887,    0.1866 
   0.1200,    0.0729,    0.1771 
   0.1200,    0.0674,    0.1675 
   0.1000,    0.0514,    0.1582 
   0.0800,    0.0334,    0.1485 
   0.0800,    0.0259,    0.1384 
   0.0600,    0.0082,    0.1282 
   0.0600,    0.0008,    0.1181 
   0.0600,   -0.0046,    0.1079 
   0.0400,   -0.0168,    0.0978 
   0.0400,   -0.0219,    0.0872 
   0.0600,   -0.0129,    0.0771 
   0.0600,   -0.0105,    0.0676 
   0.1200,    0.0056,    0.0589 
   0.1400,    0.0280,    0.0512 
   0.1600,    0.0617,    0.0453 
   0.1600,    0.0871,    0.0413 
   0.1600,    0.1121,    0.0391 
   0.1400,    0.1241,    0.0390 
   0.1400,    0.1439,    0.0397 
   0.1200,    0.1501,    0.0422 
   0.1200,    0.1638,    0.0453 
   0.1000,    0.1637,    0.0498 
   0.1000,    0.1708,    0.0547 
   0.1000,    0.1762,    0.0606 
   0.0800,    0.1674,    0.0678 
   0.0800,    0.1655,    0.0748 
   0.0800,    0.1617,    0.0827 
   0.0800,    0.1563,    0.0908 
   0.0400,    0.1247,    0.0988 
   0.0000,    0.0840,    0.1059 
  -0.0600,    0.0228,    0.1112 
  -0.1800,   -0.0370,    0.1130 
  -0.2000,   -0.1062,    0.1116 
  -0.2200,   -0.1774,    0.1060 
  -0.2200,   -0.2363,    0.0958 
  -0.2400,   -0.3026,    0.0809 
  -0.2600,   -0.3671,    0.0614 
  -0.2600,   -0.4166,    0.0374 
  -0.2600,   -0.4595,    0.0104 
  -0.2600,   -0.4951,   -0.0198 
  -0.2600,   -0.5234,   -0.0520 
  -0.3200,   -0.5807,   -0.0864 
  -0.3600,   -0.6291,   -0.1236 
  -0.4000,   -0.6764,   -0.1636 
  -0.4000,   -0.6975,   -0.2062 
  -0.4200,   -0.7220,   -0.2495 
  -0.4200,   -0.7289,   -0.2939 
  -0.4400,   -0.7391,   -0.3384 
  -0.4600,   -0.7442,   -0.3832 
  -0.4600,   -0.7329,   -0.4266 
